danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.631,0.92,10,-0.666,1,0.0546,0.496,8.56e-05,0.278,0.988,159.025,audio_features,5SBFJ4RSVhvjK2ZLXkd3gS,spotify:track:5SBFJ4RSVhvjK2ZLXkd3gS,https://api.spotify.com/v1/tracks/5SBFJ4RSVhvjK2ZLXkd3gS,https://api.spotify.com/v1/audio-analysis/5SBFJ4RSVhvjK2ZLXkd3gS,155587,3
0.467,0.781,3,-4.185,0,0.0863,0.126,9.15e-05,0.111,0.543,134.039,audio_features,4IwHGmHYkyRphhFeiScALN,spotify:track:4IwHGmHYkyRphhFeiScALN,https://api.spotify.com/v1/tracks/4IwHGmHYkyRphhFeiScALN,https://api.spotify.com/v1/audio-analysis/4IwHGmHYkyRphhFeiScALN,256000,4
0.444,0.429,0,-10.736,1,0.033,0.0932,0.0,0.126,0.183,139.991,audio_features,4eTNS8AffrdF6sFjbZvYgZ,spotify:track:4eTNS8AffrdF6sFjbZvYgZ,https://api.spotify.com/v1/tracks/4eTNS8AffrdF6sFjbZvYgZ,https://api.spotify.com/v1/audio-analysis/4eTNS8AffrdF6sFjbZvYgZ,301500,4
0.571,0.497,11,-9.876,1,0.0284,0.18,0.0,0.332,0.869,117.975,audio_features,3WLTElSY0x1Fsq5y9cUtJG,spotify:track:3WLTElSY0x1Fsq5y9cUtJG,https://api.spotify.com/v1/tracks/3WLTElSY0x1Fsq5y9cUtJG,https://api.spotify.com/v1/audio-analysis/3WLTElSY0x1Fsq5y9cUtJG,121533,4
0.471,0.914,11,-5.109,0,0.0643,0.00403,0.0,0.962,0.544,127.971,audio_features,54DB4bR33io1fIbhtYVbuM,spotify:track:54DB4bR33io1fIbhtYVbuM,https://api.spotify.com/v1/tracks/54DB4bR33io1fIbhtYVbuM,https://api.spotify.com/v1/audio-analysis/54DB4bR33io1fIbhtYVbuM,189973,4
0.745,0.544,7,-8.393,0,0.0327,0.018,0.000189,0.736,0.964,136.211,audio_features,2GCxCZ1DHb0vziBclddFwg,spotify:track:2GCxCZ1DHb0vziBclddFwg,https://api.spotify.com/v1/tracks/2GCxCZ1DHb0vziBclddFwg,https://api.spotify.com/v1/audio-analysis/2GCxCZ1DHb0vziBclddFwg,369000,4
0.815,0.916,1,-8.283,1,0.0962,0.0976,0.674,0.0625,0.786,111.987,audio_features,0BQPbCTKcHwMJuXJF6MfOG,spotify:track:0BQPbCTKcHwMJuXJF6MfOG,https://api.spotify.com/v1/tracks/0BQPbCTKcHwMJuXJF6MfOG,https://api.spotify.com/v1/audio-analysis/0BQPbCTKcHwMJuXJF6MfOG,248320,4
0.593,0.828,5,-8.722,0,0.0367,0.426,0.666,0.116,0.373,159.933,audio_features,6OmKfsDPHUTvhW6XyVP5N0,spotify:track:6OmKfsDPHUTvhW6XyVP5N0,https://api.spotify.com/v1/tracks/6OmKfsDPHUTvhW6XyVP5N0,https://api.spotify.com/v1/audio-analysis/6OmKfsDPHUTvhW6XyVP5N0,207093,4
0.346,0.864,9,-5.28,1,0.0467,1.37e-06,0.322,0.207,0.662,98.481,audio_features,7EoK0FmkAsEdVejoPSOFRk,spotify:track:7EoK0FmkAsEdVejoPSOFRk,https://api.spotify.com/v1/tracks/7EoK0FmkAsEdVejoPSOFRk,https://api.spotify.com/v1/audio-analysis/7EoK0FmkAsEdVejoPSOFRk,125827,4
0.39,0.433,5,-7.519,1,0.0329,0.666,0.0,0.133,0.26,76.709,audio_features,4beDjVImBfBTSaFM7dKNEy,spotify:track:4beDjVImBfBTSaFM7dKNEy,https://api.spotify.com/v1/tracks/4beDjVImBfBTSaFM7dKNEy,https://api.spotify.com/v1/audio-analysis/4beDjVImBfBTSaFM7dKNEy,188067,4
